Time,Region,Population,livebirths,deaths,employment_rate,unemployment_rate,consumption_expenditures,income
Dec.2014,Japan,127225000,87374,122786,57.4,3.2,332363,924911
Jan.2015,Japan,127177000,86043,134912,57,3.5,289847,440226
Feb.2015,Japan,127158000,77078,110641,57.1,3.5,265632,488519
Mar.2015,Japan,127066000,83102,114448,57.1,3.5,317579,449243
Apr.2015,Japan,127112000,84499,105438,57.3,3.6,300480,476880
May.2015,Japan,127080000,84910,103286,57.8,3.4,286433,430325
Jun.2015,Japan,127109000,84321,95087,58,3.4,268652,733589
Jul.2015,Japan,127141000,89871,99995,57.6,3.4,280471,587156
Aug.2015,Japan,127128000,87489,101530,57.6,3.4,291156,475369
Sep.2015,Japan,127065000,88133,98780,58.1,3.4,274309,415467
Oct.2015,Japan,127094745,87056,108457,58,3.1,282401,485330
Nov.2015,Japan,127104000,81843,107145,57.6,3.2,273268,425692
Dec.2015,Japan,127106000,85602,117425,57.6,3.1,318254,900229
Jan.2016,Japan,127053000,83553,125280,57.8,3.2,280973,434330
Feb.2016,Japan,127050000,77996,115085,57.4,3.2,269774,478624
Mar.2016,Japan,126992000,82625,116674,57.2,3.3,300889,450698
Apr.2016,Japan,127029000,81096,105810,57.8,3.4,298520,480098
May.2016,Japan,126988000,82267,103754,58.2,3.2,281827,426805
Jun.2016,Japan,127042000,81953,95917,58.6,3.1,261452,731099
Jul.2016,Japan,127076000,86481,99743,58.5,3,278067,574227
Aug.2016,Japan,127067000,86470,103850,58.4,3.2,276338,480083
Sep.2016,Japan,127002000,86582,100748,58.6,3,267119,424553
Oct.2016,Japan,127042000,84786,110133,58.6,2.9,281961,485827
Nov.2016,Japan,127055000,79472,114471,58.2,3,270848,432415
Dec.2016,Japan,127044000,80930,123302,58.4,2.9,318488,924920
Jan.2017,Japan,126955000,80777,134864,58.2,3,279249,441064
Feb.2017,Japan,126933000,73167,117088,57.9,2.8,260644,484038
Mar.2017,Japan,126906000,79477,120640,57.9,2.8,297942,445607
Apr.2017,Japan,126920000,77588,108986,58.5,2.9,295929,472047
May.2017,Japan,126893000,81344,106802,58.9,3.1,283056,421497
Jun.2017,Japan,126943000,78414,98360,59.3,2.8,268802,735477
Jul.2017,Japan,126972000,82052,102886,59.1,2.8,279197,598042
Aug.2017,Japan,126949000,84493,104148,59.2,2.8,280320,485099
Sep.2017,Japan,126881000,83433,101401,59.4,2.8,268802,437497
Oct.2017,Japan,126919000,82574,110991,59.2,2.7,282872,501416
Nov.2017,Japan,126934000,78524,115772,59,2.6,277361,443186
Dec.2017,Japan,126922000,80911,125448,58.9,2.6,322157,940875
Jan.2018,Japan,126825000,79689,138481,59.1,2.4,289703,442129
Feb.2018,Japan,126851000,70859,123487,59.3,2.5,265614,503989
Mar.2018,Japan,126743000,76311,121172,59.6,2.5,301230,453676
Apr.2018,Japan,126760000,75673,109572,60.1,2.6,294439,495370
